sample_size,repeat,model,class,precision,recall,f1_score,support
5600,0,FS_PCA_L1_Logistic,1,0.9019607843137255,0.9583333333333334,0.9292929292929293,240.0
5600,0,FS_PCA_L1_Logistic,2,0.9585253456221198,0.8666666666666667,0.9102844638949672,240.0
5600,0,FS_PCA_L1_Logistic,3,0.919831223628692,0.9083333333333333,0.9140461215932913,240.0
5600,0,FS_PCA_L1_Logistic,4,0.9788732394366197,0.9455782312925171,0.9619377162629758,147.0
5600,0,FS_PCA_L1_Logistic,5,0.9613733905579399,0.9333333333333333,0.9471458773784355,240.0
5600,0,FS_PCA_L1_Logistic,6,0.8716981132075472,0.9625,0.9148514851485149,240.0
5600,0,FS_PCA_L1_Logistic,7,0.957983193277311,0.95,0.9539748953974896,240.0
5600,0,FS_PCA_Shrinkage_LDA,1,0.8918918918918919,0.9625,0.9258517034068137,240.0
5600,0,FS_PCA_Shrinkage_LDA,2,0.9894179894179894,0.7791666666666667,0.8717948717948718,240.0
5600,0,FS_PCA_Shrinkage_LDA,3,0.9012345679012346,0.9125,0.906832298136646,240.0
5600,0,FS_PCA_Shrinkage_LDA,4,0.9790209790209791,0.9523809523809523,0.9655172413793104,147.0
5600,0,FS_PCA_Shrinkage_LDA,5,0.9523809523809523,0.9166666666666666,0.9341825902335457,240.0
5600,0,FS_PCA_Shrinkage_LDA,6,0.8262411347517731,0.9708333333333333,0.89272030651341,240.0
5600,0,FS_PCA_Shrinkage_LDA,7,0.9416666666666667,0.9416666666666667,0.9416666666666667,240.0
5600,0,FS_PCA_RBF_SVM,1,0.8876404494382022,0.9875,0.9349112426035503,240.0
5600,0,FS_PCA_RBF_SVM,2,0.9813084112149533,0.875,0.9251101321585903,240.0
5600,0,FS_PCA_RBF_SVM,3,0.9567099567099567,0.9208333333333333,0.9384288747346072,240.0
5600,0,FS_PCA_RBF_SVM,4,0.9791666666666666,0.9591836734693877,0.9690721649484536,147.0
5600,0,FS_PCA_RBF_SVM,5,0.9615384615384616,0.9375,0.9493670886075949,240.0
5600,0,FS_PCA_RBF_SVM,6,0.9,0.975,0.936,240.0
5600,0,FS_PCA_RBF_SVM,7,0.9620253164556962,0.95,0.9559748427672956,240.0
5600,0,FS_PCA_RandomForest,1,0.8846153846153846,0.9583333333333334,0.92,240.0
5600,0,FS_PCA_RandomForest,2,0.9852216748768473,0.8333333333333334,0.9029345372460497,240.0
5600,0,FS_PCA_RandomForest,3,0.9011857707509882,0.95,0.9249492900608519,240.0
5600,0,FS_PCA_RandomForest,4,0.9924242424242424,0.891156462585034,0.9390681003584229,147.0
5600,0,FS_PCA_RandomForest,5,0.9411764705882353,0.9333333333333333,0.9372384937238494,240.0
5600,0,FS_PCA_RandomForest,6,0.8846153846153846,0.9583333333333334,0.92,240.0
5600,0,FS_PCA_RandomForest,7,0.9336099585062241,0.9375,0.9355509355509356,240.0
5600,1,FS_PCA_L1_Logistic,1,0.8980392156862745,0.9541666666666667,0.9252525252525252,240.0
5600,1,FS_PCA_L1_Logistic,2,0.95260663507109,0.8375,0.8913525498891353,240.0
5600,1,FS_PCA_L1_Logistic,3,0.8897338403041825,0.975,0.9304174950298211,240.0
5600,1,FS_PCA_L1_Logistic,4,0.993006993006993,0.9659863945578231,0.9793103448275862,147.0
5600,1,FS_PCA_L1_Logistic,5,0.9742489270386266,0.9458333333333333,0.959830866807611,240.0
5600,1,FS_PCA_L1_Logistic,6,0.9319148936170213,0.9125,0.9221052631578948,240.0
5600,1,FS_PCA_L1_Logistic,7,0.9473684210526315,0.975,0.9609856262833676,240.0
5600,1,FS_PCA_Shrinkage_LDA,1,0.8863636363636364,0.975,0.9285714285714286,240.0
5600,1,FS_PCA_Shrinkage_LDA,2,0.9946808510638298,0.7791666666666667,0.8738317757009346,240.0
5600,1,FS_PCA_Shrinkage_LDA,3,0.8566037735849057,0.9458333333333333,0.899009900990099,240.0
5600,1,FS_PCA_Shrinkage_LDA,4,1.0,0.9591836734693877,0.9791666666666666,147.0
5600,1,FS_PCA_Shrinkage_LDA,5,0.9700854700854701,0.9458333333333333,0.9578059071729957,240.0
5600,1,FS_PCA_Shrinkage_LDA,6,0.9036144578313253,0.9375,0.9202453987730062,240.0
5600,1,FS_PCA_Shrinkage_LDA,7,0.9471544715447154,0.9708333333333333,0.9588477366255144,240.0
5600,1,FS_PCA_RBF_SVM,1,0.8905660377358491,0.9833333333333333,0.9346534653465347,240.0
5600,1,FS_PCA_RBF_SVM,2,0.9904306220095693,0.8625,0.9220489977728286,240.0
5600,1,FS_PCA_RBF_SVM,3,0.9285714285714286,0.975,0.9512195121951219,240.0
5600,1,FS_PCA_RBF_SVM,4,1.0,0.9659863945578231,0.9826989619377162,147.0
5600,1,FS_PCA_RBF_SVM,5,0.9786324786324786,0.9541666666666667,0.9662447257383966,240.0
5600,1,FS_PCA_RBF_SVM,6,0.9497907949790795,0.9458333333333333,0.9478079331941545,240.0
5600,1,FS_PCA_RBF_SVM,7,0.9552845528455285,0.9791666666666666,0.9670781893004116,240.0
5600,1,FS_PCA_RandomForest,1,0.8708487084870848,0.9833333333333333,0.923679060665362,240.0
5600,1,FS_PCA_RandomForest,2,0.9711538461538461,0.8416666666666667,0.9017857142857143,240.0
5600,1,FS_PCA_RandomForest,3,0.8949416342412452,0.9583333333333334,0.9255533199195171,240.0
5600,1,FS_PCA_RandomForest,4,0.9856115107913669,0.9319727891156463,0.958041958041958,147.0
5600,1,FS_PCA_RandomForest,5,0.9495798319327731,0.9416666666666667,0.9456066945606695,240.0
5600,1,FS_PCA_RandomForest,6,0.9567099567099567,0.9208333333333333,0.9384288747346072,240.0
5600,1,FS_PCA_RandomForest,7,0.934156378600823,0.9458333333333333,0.9399585921325052,240.0
5600,2,FS_PCA_L1_Logistic,1,0.8893280632411067,0.9375,0.9127789046653144,240.0
5600,2,FS_PCA_L1_Logistic,2,0.9305555555555556,0.8375,0.881578947368421,240.0
5600,2,FS_PCA_L1_Logistic,3,0.9152542372881356,0.9,0.907563025210084,240.0
5600,2,FS_PCA_L1_Logistic,4,0.9731543624161074,0.9863945578231292,0.9797297297297297,147.0
5600,2,FS_PCA_L1_Logistic,5,0.9670781893004116,0.9791666666666666,0.9730848861283644,240.0
5600,2,FS_PCA_L1_Logistic,6,0.8532818532818532,0.9208333333333333,0.8857715430861723,240.0
5600,2,FS_PCA_L1_Logistic,7,0.9913419913419913,0.9541666666666667,0.9723991507430998,240.0
5600,2,FS_PCA_Shrinkage_LDA,1,0.8702290076335878,0.95,0.9083665338645418,240.0
5600,2,FS_PCA_Shrinkage_LDA,2,0.9896373056994818,0.7958333333333333,0.8822170900692841,240.0
5600,2,FS_PCA_Shrinkage_LDA,3,0.872,0.9083333333333333,0.889795918367347,240.0
5600,2,FS_PCA_Shrinkage_LDA,4,0.9929577464788732,0.9591836734693877,0.9757785467128027,147.0
5600,2,FS_PCA_Shrinkage_LDA,5,0.9703389830508474,0.9541666666666667,0.9621848739495799,240.0
5600,2,FS_PCA_Shrinkage_LDA,6,0.8528301886792453,0.9416666666666667,0.8950495049504951,240.0
5600,2,FS_PCA_Shrinkage_LDA,7,0.9707112970711297,0.9666666666666667,0.9686847599164927,240.0
5600,2,FS_PCA_RBF_SVM,1,0.8745247148288974,0.9583333333333334,0.9145129224652088,240.0
5600,2,FS_PCA_RBF_SVM,2,0.9711538461538461,0.8416666666666667,0.9017857142857143,240.0
5600,2,FS_PCA_RBF_SVM,3,0.9361702127659575,0.9166666666666666,0.9263157894736842,240.0
5600,2,FS_PCA_RBF_SVM,4,0.993103448275862,0.9795918367346939,0.9863013698630136,147.0
5600,2,FS_PCA_RBF_SVM,5,0.9669421487603306,0.975,0.970954356846473,240.0
