model,accuracy_mean,macro_f1_mean,accuracy_std,macro_f1_std
FS_PCA_RBF_SVM,0.8766359358278073,0.8778584953560337,0.08104527440304511,0.08008717585150306
FS_PCA_Shrinkage_LDA,0.8648330682829738,0.8662621842784501,0.06720481739707501,0.06665699022667258
FS_PCA_RandomForest,0.8554646632860243,0.8553079163415576,0.07293831293103299,0.07370117218623161
FS_PCA_L1_Logistic,0.8349191346355808,0.835664288421524,0.10679654811512103,0.10636936523897955
