sample_size,model,class,precision_mean,recall_mean,f1_mean,f1_std,support_mean
350,FS_PCA_RBF_SVM,3,0.736574074074074,0.7999999999999999,0.7658520690778756,0.04902473252809509,15.0
350,FS_PCA_RBF_SVM,4,1.0,0.9111111111111111,0.9532019704433498,0.021330674970060054,15.0
350,FS_PCA_RBF_SVM,5,0.9761904761904763,0.8444444444444444,0.902740937223696,0.05992190583503958,15.0
350,FS_PCA_RBF_SVM,6,0.658578431372549,0.7777777777777777,0.7115591397849462,0.08751517384906929,15.0
350,FS_PCA_RBF_SVM,7,0.8406862745098039,0.9333333333333332,0.8844086021505376,0.06458959191140091,15.0
350,FS_PCA_RandomForest,1,0.8592592592592593,0.9111111111111111,0.8828282828282829,0.0446734230050424,15.0
350,FS_PCA_RandomForest,2,0.8799145299145299,0.7777777777777778,0.8239858906525573,0.029654814189747705,15.0
350,FS_PCA_RandomForest,3,0.6396178984414278,0.6444444444444444,0.6402777777777778,0.12362671561929812,15.0
350,FS_PCA_RandomForest,4,0.9277777777777777,0.8222222222222223,0.8700176366843033,0.0569522918185667,15.0
350,FS_PCA_RandomForest,5,0.9523809523809524,0.7999999999999999,0.864367816091954,0.05574416392175696,15.0
350,FS_PCA_RandomForest,6,0.6356060606060606,0.7555555555555555,0.6853240337111305,0.11099587359919626,15.0
350,FS_PCA_RandomForest,7,0.815873015873016,0.9111111111111111,0.8555555555555556,0.01924500897298753,15.0
350,FS_PCA_Shrinkage_LDA,1,0.826388888888889,0.8444444444444444,0.8351254480286738,0.033477546749349434,15.0
350,FS_PCA_Shrinkage_LDA,2,0.9743589743589745,0.7777777777777778,0.8640618640618639,0.022191788164779114,15.0
350,FS_PCA_Shrinkage_LDA,3,0.7288441692466461,0.8444444444444444,0.7813488298545224,0.09762333589331415,15.0
350,FS_PCA_Shrinkage_LDA,4,0.9777777777777779,0.888888888888889,0.9292464878671775,0.03847730279979679,15.0
350,FS_PCA_Shrinkage_LDA,5,0.8927738927738927,0.7333333333333334,0.8040293040293042,0.1113004732911245,15.0
350,FS_PCA_Shrinkage_LDA,6,0.6680555555555555,0.7555555555555555,0.7064004096262161,0.03820080182540673,15.0
350,FS_PCA_Shrinkage_LDA,7,0.7517414860681114,0.8666666666666667,0.8040796963946869,0.04744544538670245,15.0
700,FS_PCA_L1_Logistic,1,0.8551851851851852,0.9,0.871017871017871,0.008750836503683593,30.0
700,FS_PCA_L1_Logistic,2,0.8505128205128205,0.8111111111111112,0.8248917748917749,0.06487118069600295,30.0
700,FS_PCA_L1_Logistic,3,0.8155270655270656,0.7999999999999999,0.8034290271132377,0.04779203394480251,30.0
700,FS_PCA_L1_Logistic,4,0.9462401795735129,0.9444444444444445,0.9437761069340017,0.02819558154630595,30.0
700,FS_PCA_L1_Logistic,5,0.903030303030303,0.888888888888889,0.8936507936507937,0.08197302434079587,30.0
700,FS_PCA_L1_Logistic,6,0.7137911371782341,0.7000000000000001,0.7035880533148292,0.10629412314850238,30.0
700,FS_PCA_L1_Logistic,7,0.8968253968253969,0.9,0.894993894993895,0.05347023513955438,30.0
700,FS_PCA_RBF_SVM,1,0.8734074274871239,0.9,0.8850869135104579,0.028669651050947535,30.0
700,FS_PCA_RBF_SVM,2,0.9733333333333333,0.8222222222222223,0.8908736487683856,0.055529001519899375,30.0
700,FS_PCA_RBF_SVM,3,0.8223316912972085,0.8444444444444444,0.8316384180790961,0.043587122083583923,30.0
700,FS_PCA_RBF_SVM,4,0.9791666666666666,0.9777777777777779,0.9777530589543938,0.019298500081087255,30.0
700,FS_PCA_RBF_SVM,5,0.935483870967742,0.9666666666666667,0.9508196721311476,0.03278688524590166,30.0
700,FS_PCA_RBF_SVM,6,0.7812990330231709,0.8666666666666667,0.8199491657118777,0.06279888707692928,30.0
700,FS_PCA_RBF_SVM,7,0.9761600681140911,0.9222222222222222,0.9481613638616314,0.035395482859333555,30.0
700,FS_PCA_RandomForest,1,0.8500330687830688,0.9,0.8720014381860878,0.024050104567675167,30.0
700,FS_PCA_RandomForest,2,0.9540229885057471,0.8222222222222223,0.8813178613306532,0.04218291388400073,30.0
700,FS_PCA_RandomForest,3,0.8485273492286115,0.7222222222222222,0.7763686978038974,0.03750187334668153,30.0
700,FS_PCA_RandomForest,4,0.9090003982477102,0.9444444444444445,0.9232968163080328,0.054610604114568397,30.0
700,FS_PCA_RandomForest,5,0.9153439153439153,0.9,0.9041835357624831,0.05511626951865629,30.0
700,FS_PCA_RandomForest,6,0.7320802005012531,0.8777777777777778,0.7980392156862745,0.0033961780540566902,30.0
700,FS_PCA_RandomForest,7,0.9159335288367547,0.888888888888889,0.8979096192210946,0.050568058146104294,30.0
700,FS_PCA_Shrinkage_LDA,1,0.8603282828282829,0.8555555555555556,0.8546540675572935,0.029671420944462335,30.0
700,FS_PCA_Shrinkage_LDA,2,1.0,0.7999999999999999,0.8854864433811803,0.07646725431168395,30.0
700,FS_PCA_Shrinkage_LDA,3,0.8065964302523443,0.8111111111111112,0.8074740585525745,0.07754459358145475,30.0
700,FS_PCA_Shrinkage_LDA,4,0.9684139784946236,0.9777777777777779,0.9722885780800768,0.009864573355687335,30.0
700,FS_PCA_Shrinkage_LDA,5,0.9254032258064516,0.9444444444444445,0.9344172664449802,0.071389472333726,30.0
