sample_size,repeat,model,accuracy,macro_f1,inner_cv_macro_f1,selected_feature_count,pca_component_count
5600,0,FS_PCA_L1_Logistic,0.931316950220542,0.9330762127098006,0.9314502554852708,50,43
5600,0,FS_PCA_Shrinkage_LDA,0.9174543163201008,0.9197950968758948,0.9220504520917753,50,43
5600,0,FS_PCA_RBF_SVM,0.9426591052299937,0.9441234779742987,0.9462559615618827,50,43
5600,0,FS_PCA_RandomForest,0.9250157529930687,0.9256773367057299,0.9240350804556543,50,43
5600,1,FS_PCA_L1_Logistic,0.9363579080025205,0.9384649530354201,0.9297319868544422,50,43
5600,1,FS_PCA_Shrinkage_LDA,0.9287964713295526,0.9310684020715208,0.9227802188228336,50,43
5600,1,FS_PCA_RBF_SVM,0.9514807813484563,0.953107397926452,0.9429188345445336,50,43
5600,1,FS_PCA_RandomForest,0.9319470699432892,0.9332934591914762,0.9256960036795467,50,43
5600,2,FS_PCA_L1_Logistic,0.927536231884058,0.930415169561598,0.9282776844056634,50,43
5600,2,FS_PCA_Shrinkage_LDA,0.9231253938248267,0.9260110325472205,0.9196805050304829,50,43
5600,2,FS_PCA_RBF_SVM,0.9388783868935098,0.941507097403653,0.9415681729468306,50,43
5600,2,FS_PCA_RandomForest,0.9306868304977945,0.9326871621812797,0.9267676892762166,50,43
2800,0,FS_PCA_L1_Logistic,0.9107142857142857,0.9110455694129053,0.9100224204095709,50,43
2800,0,FS_PCA_Shrinkage_LDA,0.905952380952381,0.9065723440747444,0.9031602718059242,50,43
2800,0,FS_PCA_RBF_SVM,0.919047619047619,0.9192351347905979,0.928554542150291,50,43
2800,0,FS_PCA_RandomForest,0.8940476190476191,0.8946851554997213,0.9049631150342765,50,43
2800,1,FS_PCA_L1_Logistic,0.9107142857142857,0.9099689309686915,0.9152941042623444,50,43
2800,1,FS_PCA_Shrinkage_LDA,0.9297619047619048,0.9292318863654897,0.9031260546317502,50,43
2800,1,FS_PCA_RBF_SVM,0.9261904761904762,0.9260371697164002,0.9336197752283287,50,43
2800,1,FS_PCA_RandomForest,0.9202380952380952,0.9201618146972289,0.9158379323169334,50,43
2800,2,FS_PCA_L1_Logistic,0.9095238095238095,0.9093344632453781,0.910261615405707,50,43
2800,2,FS_PCA_Shrinkage_LDA,0.9023809523809524,0.9022191922715035,0.9081674022492534,50,43
2800,2,FS_PCA_RBF_SVM,0.9297619047619048,0.9296673023162286,0.9361623011859982,50,43
2800,2,FS_PCA_RandomForest,0.9154761904761904,0.9149955576411257,0.9113243067906849,50,43
1400,0,FS_PCA_L1_Logistic,0.9023809523809524,0.9019620494452681,0.8816232089770182,50,43
1400,0,FS_PCA_Shrinkage_LDA,0.9095238095238095,0.9104194874480037,0.8886862861185252,50,43
1400,0,FS_PCA_RBF_SVM,0.930952380952381,0.9311941942262962,0.9212666420755649,50,43
